Title,Company,Location,Posted,Schedule,YOE_Min,Apply_URL,Description
"Full-Stack Data Engineer — React & Python","Hispanic Alliance for Career Enhancement","Owasso, OK","3 days ago","Full-time","0","https://www.learn4good.com/jobs/owasso/oklahoma/software_development/5352706611/e/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","CVS Health is seeking a Software Engineer to join our Data Engineering team. You will develop a full-stack application using React (Type Script) and Python, contribute to APIs, data models, and CI/CD,"
"Sr. React Developer","Canada Goose","Toronto, ON","1 day ago","","0","https://ca.jobrapido.com/jobpreview/6923615767246143488?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","EmplacementTorontoAddress:100 Queens Quay East Toronto, Ontario M5E 1V3 CanadaJob Title:Sr. React DeveloperCanada Goose isn't like anything else. We've built something great, something special - an ic"
"Fullstack Product Engineer / React + Node / Onsite (Flatiron NYC)","Motion Recruitment","Toronto, ON","5 days ago","Full-time","2","https://www.simplyhired.ca/job/gtv7k6vSjuvUjPGNPdUY5tg34h5DIMQ2zImoaxsFCnmYZ8QJc9qefw?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Fullstack Product Engineer - NYC (On-site, 5 days/week)
Comp: $150K-$300K + highly competitive equity

Experience: 3-10 years building 0?1 products

Visa: Available


A fast-growing AI company in NYC "
"ReactJS Developer","Spectra Group Inc","Toronto, ON","6 days ago","Contractor","0","https://emplois.ca.indeed.com/viewjob?jk=59b8df7eae42e281&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Sr. React Developer - Banking / Capital Market Experience


Toronto, ON


Hybrid - 3-4 Days Onsite


Skills: React, NodeJS, Elastic Search, Banking OR Capital Market Experience


WHAT WILL YOU DO?



"
"Hybrid Frontend Web Developer II – AEM & UI/UX","hudsonmanpower","Cincinnati, OH","2 days ago","Full-time","0","https://bebee.com/us/jobs/hybrid-frontend-web-developer-ii-aem-ui-hudsonmanpower-cincinnati--pureheal-28528_25298_05be3cac6458316b13b4f46228e5e881?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","hudsonmanpower is seeking a Frontend Web Developer II for a hybrid role based in Cincinnati, Charlotte, or Chicago. The ideal candidate should possess hands-on experience with CCS and HTML, knowledge "
"Agile Software Engineer – UI/API & Prototyping","Midmark Corporation","Blue Ash, OH","2 days ago","Full-time","0","https://bebee.com/us/jobs/agile-software-engineer-ui-api-prototyping-midmark-corporation-blue-ash--pureheal-28528_23106_c562883501e277b41bf2a194c52195f1?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Midmark Corporation, located in Blue Ash, Ohio, seeks a Software Developer to design, develop, test, and deploy software solutions. This role requires proficiency in Agile methodologies, programming s"
"UI/UX Designer/Engineer Jobs","Altamira Technologies","Trotwood, OH","6 days ago","Full-time","0","https://www.clearancejobs.com/jobs/9079290/uiux-designerengineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Altamira Technologies has a long and successful history providing innovative solutions throughout the U.S. National Security community. Headquartered in McLean, Virginia, Altamira serves the defense, "
"UI/UX Designer/Engineer, A9 Collaboration (NOVASTAR) Team","Altamira Technologies","Fairborn, OH","6 days ago","Full-time","0","https://simplify.jobs/p/e27f274f-c359-4f9b-9fb1-4ef142d2cbe4/UIUX-DesignerEngineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Description
Altamira Technologies has a long and successful history providing innovative solutions throughout the U.S. National Security community. Headquartered in McLean, Virginia, Altamira serves t"
"UI Engineer - GEMSTONE Platform (Hybrid)","KBR Careers","Beavercreek, OH","2 days ago","Full-time","0","https://bebee.com/us/jobs/ui-engineer-gemstone-platform-hybrid-kbr-careers-beavercreek--pureheal-28528_25298_b5950df52b4e54ca5ea3c02b9ab5d453?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","KBR is seeking a motivated UI Engineer to support the GEMSTONE platform, designing and developing modern, responsive web applications that enable engineers, analysts, software developers, and mission "
"Frontend Engineer II — Portal (Payments UI","Worldpay, LLC","Cincinnati, OH","5 days ago","Full-time","2","https://www.learn4good.com/jobs/cincinnati/ohio/software_development/5347556621/e/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Position: Frontend Engineer II — Portal (Payments UI) Worldpay, LLC is seeking a Software Engineer – Portal (Front End) in Cincinnati to help shape the future of global commerce by building a scalable"
"UX Design Engineer for Secure Government Apps","FOTOMILL STUDIOS LIMITED","Fairborn, OH","3 days ago","Full-time","0","https://bebee.com/us/jobs/ux-design-engineer-for-secure-government-apps-fotomill-studios-limited-fairborn--lensa-7428_585ddb20fea48335f2daabe4528c460d607135cd7920915d207ef543a6e23dc6?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Altamira Technologies in Dayton, Ohio seeks a UI/UX Designer/Engineer for the A9 Collaboration (NOVASTAR) Team to design intuitive interfaces for military and government applications. You will gather "
"Front End Engineer – Nutrition & Feed Tech (Remote)","Coherent Solutions, Inc.","Vermont","2 days ago","Full-time","0","https://bebee.com/us/jobs/front-end-engineer-nutrition-feed-tech-remote-coherent-solutions-inc--pureheal-28528_23106_e978da8472ec34850fc3b1d3818721ec?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","An innovative technology company is seeking a Front End Developer in the nutrition and feed sphere. This role involves developing features and collaborating directly with clients in a variety of domai"
"Remote Frontend Engineer — Pixel‑Perfect UI & Design Systems","YO IT Consulting","New York","1 day ago","Full-time","0","https://bebee.com/us/jobs/remote-frontend-engineer-pixelperfect-ui-design-systems-yo-it-consulting-town-of-poland--pureheal-28528_25298_71604e445a59a5c95bf745f694ddfdbe?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","YO IT Consulting is seeking a Frontend Software Engineer on a contract basis. This remote role focuses on delivering high-quality UI implementations and documentation for real-world frontend scenarios"
"Frontend Engineer: Shape Seamless Global FinTech","Revolut","New York","2 days ago","Full-time","0","https://www.jobleads.com/us/job/frontend-engineer-shape-seamless-global-fintech--town-of-poland--ee7f8f15548bb4c1ae1e8e1da74bae2c0?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Revolut is seeking a Frontend Engineer to build the next generation of our web experience. You will work with Product Designers and engineers to prototype, implement, and refine features that empower "
"Application Developer - JavaScript","Esri","Redlands, CA","5 days ago","Full-time","0","https://www.esri.com/careers/5197137007?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","We are seeking an Application Developer to join Esri’s Geo Experience Center team, where you will contribute to building prototype applications that explore digital cartography, advanced map visualiza"
"JavaScript Developer - Remote","NAVA Software Solutions","Anywhere","1 day ago","Full-time","0","https://www.ziprecruiter.com/c/NAVA-Software-Solutions/Job/JavaScript-Developer-Remote/-in-San-Francisco,CA?jid=454d6970bc4c604d&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","NAVA Software solutions is looking for a JavaScript Developer 



Details:



JavaScript Developer 



Location: 100% Remote - Must work in Pacific Time Zone schedule



Duration: 6-12 months



Techn"
"Remote JavaScript Developer","DataAnnotation","Georgia","1 day ago","Full-time","0","https://us.trabajo.org/job-5417-038dc3bf1c886131ab2f2f5fa1f23f39?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","A growing AI development company is seeking proficient programmers to advance AI technologies through remote work. This role offers flexibility in project choice and schedule, allowing you to create a"
"Node JS developer","NAVA Software Solutions","Sunnyvale, CA","3 days ago","Full-time","0","https://www.ziprecruiter.com/c/Nava-Software-Solutions/Job/Node-JS-developer/-in-Sunnyvale,CA?jid=db6cb031853bb02a&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","NAVA Software solutions is looking for a Node JS Developer



Details:



Role: Node JS developer (Backend dev)



Location; Sunnyvale, CA - Hybrid



Duration: 6+ Months



Skills: Node.JS & GraphQL "
"Node.JS Developer - Immediate Interview","Rootshell Enterprise Technologies, Inc.","Santa Clara, CA","1 day ago","Full-time","0","https://www.ziprecruiter.com/c/Rootshell-Enterprise-Technologies/Job/Node-JS-Developer/-in-Santa-Clara,CA?jid=74da6d596fbd71f8&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Hello All,




Greetings from Rootshell Inc.




Rootshell Enterprise Technologies Inc. is a recognized provider of professional IT Consulting services in the US. We are actively seeking Node.JS Devel"
"Mobile Developer (Native + Javascript)","AMEBAE ONLINE PTY LTD","United States","7 days ago","Full-time","0","https://www.linkedin.com/jobs/view/mobile-developer-native-%2B-javascript-at-amebae-online-pty-ltd-4449636774?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Overview

We’re looking for an independent contract – permanent developer with deep expertise in iOS and Android mobile development using Native (Obj-C, Swift, Java) and Javascript (Nativescript) tech"
"[Remote] JavaScript Developer - Remote Flex Contract","Softworld, a Kelly Company","Anywhere","6 days ago","Contractor","0","https://jobright.ai/jobs/info/6a74d410b17cba5690357b31?visit=backend-engineer-in-chicago-il&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Note: The job is a remote job and is open to candidates in USA. Softworld, a Kelly Company, is seeking an experienced JavaScript developer to create and maintain robust data workflow solutions using m"
"JavaScript Developer Advocate - US (remote)","Vonage","United States","10 hours ago","Full-time","2","https://jobs.digitalhire.com/job-listing/opening/6yfm218lEbVFxXWRdBhoTm?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Position Overview
  Organization: Vonage API Group Product | Location: USA (East Coast preferred; Central Region and West Coast considered). Vonage API is the emerging leader in the $100B+ cloud commu"
"JavaScript Developer","Bitovi","Anywhere","1 day ago","Full-time","0","https://www.ziprecruiter.com/c/Bitovi/Job/JavaScript-Developer/-in-Remote,US?jid=a5fa63d67864f5eb&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Us: We're a JavaScript consulting company best known for JavaScriptMVC, CanJS, and Funcunit. We dotraining, provide expert consulting, and constantly improve our products - and we open-sourceeverythin"
