"Job_ID","Company","Role","Location","Experience","Priority","Strategy","Posted_Date","Openings_Count","Applicant_Count","Competition_Status","Resume_Match_Score","Company_Strength","Apply_URL"
"PRI_011","Unknown (Pari Gangrade post)","React & Angular Developer","Indore (On-site)","0–2 years","HIGH","TIER 3 (Focused Target - Direct DM)","2026-07-06 (LinkedIn post age)","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.linkedin.com/posts/pari-gangrade-5337b4173_hiring-reactjs-angular-activity-7479831030498070528-8Htl"
"PRI_012","Gyrix TechnoLabs LLP","Frontend Developer (Reactjs)","Indore","1 - 7 yrs","HIGH","TIER 3 (Focused Target - Direct DM)","Not clearly dated on Cutshort scrape","1 Position","< 50 Applicants","Low Competition (Golden Target)","94%","Strong","https://cutshort.io/job/Frontend-Developer-Reactjs-Indore-Indore-Gyrix-TechnoLabs-LLP-tdg502lN"
"PRI_013","Alphawizz Technologies Pvt. Ltd.","Frontend Developer","Indore (on-site)","1+ year","HIGH","TIER 3 (Focused Target - Direct DM)","2026-01-27 (LinkedIn post age)","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://www.linkedin.com/posts/muskan-chourasiya-51833a358_hiring-frontenddeveloper-indorejobs-activity-7421904363180449792-AjyE"
"PRI_014","Signimus","React Native Developer - Indore - Signimus - 1 to 3 years ...","Indore","1 - 3 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-react-native-developer-signimus-indore-1-to-3-years-071222501039"
"PRI_015","Yash Computech","React Native Developer - Indore - Yash Computech","Indore","1 - 3 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-react-native-developer-yash-computech-solutions-indore-1-to-3-years-241224503179"
"PRI_016","WitMates Technologies","React Native Developer - Indore - WitMates Technologies","Indore","0 - 2 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-react-native-developer-witmates-technology-pvt-ltd-indore-0-to-2-years-100221501414"
"PRI_017","Terbaiks Innovative Solutions","ReactJS Developer","Indore","1 - 3 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-reactjs-developer-terbaiks-innovative-solutions-llp-indore-1-to-3-years-250325503447 ""ReactJS Developer"""
"PRI_018","Ozlo It Services","React native - Developer","Indore","0 - 2 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-react-native-developer-ozlo-it-services-pvt-ltd-indore-0-to-2-years-270524500010 ""React native - Developer"""
"PRI_019","MoreYeahs","React.js Developer","Indore","1 - 3 yrs","HIGH","TIER 3 (Focused Target - Direct DM)","Not clearly dated on Cutshort scrape","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://cutshort.io/job/React-js-Developer-Indore-MoreYeahs-Inc--rWbo77kW"
"PRI_020","iLogixworks",".NET + Full Stack Developer (Frontend – React.js)","Indore (Office-based)","1+ year (from search summary; full page blocked)","HIGH","TIER 3 (Focused Target - Direct DM)","2026-08-03 (LinkedIn post age from search)","1 Position","< 50 Applicants","Low Competition (Golden Target)","94%","Strong","https://www.linkedin.com/posts/ritu-thakur-7a992b267_hiring-dotnet-reactjs-activity-7490088585455529984-odmp"
"PRI_021","Advance analytics (via HR BIZ HUB)","Frontend Developer","Indore","1 - 2 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not clearly dated on Cutshort","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://cutshort.io/job/Frontend-Developer-Indore-HR-BIZ-HUB-6gQWDucs"
"PRI_022","Betsperts (via InvokHR)","React.js Developer","Remote, Indore","4 - 10 years (listing); body also states React-only 1-2 years / overall up to 4 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not clearly dated on Cutshort","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://cutshort.io/job/React-js-Developer-Indore-InvokHR-OHU8ICOR"
"PRI_023","Jmbliss IT Solutions","Front End Developer","Indore","0 - 1 years","HIGH","TIER 3 (Focused Target - Direct DM)","Posted 3+ weeks ago (Naukri as of 2026-08-09)","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://www.naukri.com/job-listings-front-end-developer-jmbliss-it-solutions-indore-0-to-1-years-301025503065"
"PRI_024","Sageties Marketing Solutions Pvt. Ltd.","Front-End Developer","Indore","0 - 4 years","HIGH","TIER 3 (Focused Target - Direct DM)","Posted 3+ weeks ago (Naukri as of 2026-08-09)","1 Position","< 50 Applicants","Low Competition (Golden Target)","85%","Strong","https://www.naukri.com/job-listings-front-end-developer-sageties-marketing-solutions-pvt-ltd-indore-0-to-4-years-210824502620"
"PRI_025","Imentus Technologies","Frontend Developer","Indore","1 - 2 years","HIGH","TIER 3 (Focused Target - Direct DM)","Posted 3+ weeks ago (Naukri)","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://www.naukri.com/job-listings-frontend-developer-imentus-technologies-indore-1-to-2-years-301025503312"
"PRI_026","Advantal Technologies","React JS Developer","Indore","2 - 3 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-react-js-developer-advantal-technologies-indore-2-to-3-years-230626505903 ""React JS Developer"""
"PRI_027","Endeavor IT Solution","Software Engineer","Indore","2 - 3 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","85%","Strong","https://www.naukri.com/job-listings-software-engineer-endeavor-it-solutions-indore-2-to-3-years-290626500336 ""Software Engineer"""
"PRI_028","Mantra Media","Fresher Front End Developer - Indore - Mantra Media","Indore","0 - 1 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://www.naukri.com/job-listings-fresher-front-end-developer-mantra-media-pvt-ltd-indore-0-to-1-years-290420500565"
"PRI_029","Samyak Computer Classes","Frontend Developer - Indore - Samyak Computer Classes","Indore","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://www.naukri.com/job-listings-100625501529"
"PRI_030","Endeavor IT Solution","Fresher Front End Developer","Indore","0 - 1 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://www.naukri.com/job-listings-fresher-front-end-developer-endeavor-it-solutions-indore-0-to-1-years-300626502754 ""Fresher Front End Developer"""
"PRI_031","Endeavor IT Solution","Front End developers","Indore","0 - 2 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://www.naukri.com/job-listings-front-end-developers-endeavor-it-solutions-indore-0-to-2-years-290626502012 ""Front End developers"""
"PRI_032","Endeavor IT Solution","Front-end Developer - PHP","Indore","0 - 2 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","85%","Strong","https://www.naukri.com/job-listings-front-end-developer-php-endeavor-it-solutions-indore-0-to-2-years-300626503547 ""Front-end Developer - PHP"""
"PRI_033","EncoreSky","Frontend Developer","Indore","1 - 3 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://www.naukri.com/job-listings-frontend-developer-encoresky-technologies-pvt-ltd-indore-1-to-3-years-150925503369 ""Frontend Developer"""
"PRI_034","Eminence Infotech","Frontend Developer","Indore","1 - 4 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://www.naukri.com/job-listings-frontend-developer-eminence-infotech-private-limited-indore-1-to-4-years-010724501206 ""Frontend Developer"""
"PRI_035","Samyak Computer Classes","Frontend Developer","Indore","0 - 3 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://www.naukri.com/job-listings-frontend-developer-samyak-computer-classes-indore-0-to-3-years-100625501529 ""Frontend Developer"""
"PRI_036","Endeavor IT Solution","Front-End Engineer","Indore","0 - 1 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","85%","Strong","https://www.naukri.com/job-listings-front-end-engineer-endeavor-it-solutions-indore-0-to-1-years-300626503426 ""Front-End Engineer"""
"PRI_037","Endeavor IT Solution","Software Engineer, Application Developer","Indore","0 - 2 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","85%","Strong","https://www.naukri.com/job-listings-software-engineer-application-developer-endeavor-it-solutions-indore-0-to-2-years-290626502744 ""Software Engineer, Application Developer"""
"PRI_038","Ignis IT Solutions","Vue.js Developer","Indore","1 - 3 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","85%","Strong","https://www.naukri.com/job-listings-vue-js-developer-ignis-it-solutions-indore-1-to-3-years-290626505684 ""Vue.js Developer"""
"PRI_039","Data Flair","Software Engineer","Indore","1 - 3 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","85%","Strong","https://www.naukri.com/job-listings-software-engineer-dataflair-indore-1-to-3-years-111125501401 ""Software Engineer"""
"PRI_040","Terbaiks Innovative Solutions","Node . js Developer","Indore","1 - 3 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","85%","Strong","https://www.naukri.com/job-listings-node-js-developer-terbaiks-innovative-solutions-llp-indore-1-to-3-years-250325503445 ""Node . js Developer"""
"PRI_041","Codescure Technologies Pvt. Ltd.","Front End Developer / Frontend Developer","Indore","Minimum 2 year relevant experience (excluding internships); freshers not eligible","HIGH","TIER 3 (Focused Target - Direct DM)","30d+ on Glassdoor list","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://www.glassdoor.co.in/job-listing/front-end-developer-codescure-technologies-pvt-ltd-JV_IC2876676_KO0,19_KE20,50.htm?jl=1010132890028"
"PRI_042","Xenpark Solutions","Front End Developer","Indore","0 - 5 years","HIGH","TIER 3 (Focused Target - Direct DM)","Posted 3+ weeks ago (Naukri as of 2026-08-09)","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://www.naukri.com/job-listings-front-end-developer-xenpark-solutions-indore-0-to-5-years-230524500519"
"PRI_043","Expertinaisa Pvt. Ltd.","Frontend Developer","Indore","1 - 5 years (listing); body 1-3 years Angular","HIGH","TIER 3 (Focused Target - Direct DM)","Not clearly dated on Cutshort","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://cutshort.io/job/Frontend-Developer-Indore-Expertinaisa-Pvt-Ltd--gW7fAnX0"
"PRI_044","MotionGility","Frontend Developer Intern","Indore (Onsite)","0 - 0.6 yrs (Internship)","HIGH","TIER 3 (Focused Target - Direct DM)","Not clearly dated","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://cutshort.io/job/Frontend-Developer-intern-Indore-MotionGility-obamFnQx"
"PRI_045","front-end-developer-noida-indore","Front End Developer","Noida Indore","2 - 3 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://www.naukri.com/job-listings-front-end-developer-noida-indore-2-to-3-years-170726900900"
"PRI_046","Codes For Tomorrow","React.js Intern - Indore - Codes For Tomorrow - 0 to 1 years ...","Indore","0 - 1 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-react-js-intern-codes-for-tomorrow-indore-0-to-1-years-280825502059"
"PRI_047","Nextloop Technologies","Frontend Developer Intern - Indore - Nextloop Technologies","Indore","0 - 1 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","92%","Strong","https://www.naukri.com/job-listings-frontend-developer-intern-nextloop-technologies-llp-indore-0-to-1-years-090726507038"
"PRI_048","Createbytes","Frontend Developer","Jaipur","1 - 3 years","MEDIUM","TIER 2 (Medium Target)","Posted 3+ weeks ago (Naukri as of 2026-08-09)","3 Positions","50-100 Applicants","Moderate Competition","88%","Strong","https://www.naukri.com/job-listings-frontend-developer-createbytes-jaipur-1-to-3-years-221025507767"
"PRI_049","Pinesucceed Technologies","React JS Developer","Jaipur","1 - 4 years","HIGH","TIER 3 (Focused Target - Direct DM)","Posted 3+ weeks ago (Naukri as of 2026-08-09)","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-react-js-developer-pinesucceed-technologies-jaipur-1-to-4-years-070224501351"
"PRI_050","Ciphercru Innovation","React.js Developer","Jaipur","1 - 6 years (JD body: minimum 6 months React including internship/project)","HIGH","TIER 3 (Focused Target - Direct DM)","Posted 3+ weeks ago (Naukri as of 2026-08-09)","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-react-js-developer-ciphercru-jaipur-1-to-6-years-200226505600"
"PRI_051","Kpis","React JS Developer","Jaipur","1 - 6 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-react-js-developer-krishna-padam-it-solutions-jaipur-1-to-6-years-290523500796"
"PRI_052","CODERS BRAIN","REACT NATIVE DEVELOPER - Jaipur - CODERS BRAIN","Jaipur","1 - 3 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-react-native-developer-vardhaman-infotech-jaipur-1-to-3-years-280524501013"
"PRI_053","react-native-developer-pebibits-technologies-private-limited","React Native Developer - Jaipur,Jodhpur,Kota,Bikaner","Jaipur,Jodhpur,Kota,Bikaner","1 - 4 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-react-native-developer-pebibits-technologies-private-limited-kota-jaipur-bikaner-jodhpur-1-to-4-years-170120500135"
"PRI_054","react-developer-pebibits-technologies-private-limited-kota-j","React Developer - Jaipur,Jodhpur,Kota,Bikaner","Jaipur,Jodhpur,Kota,Bikaner","1 - 4 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-react-developer-pebibits-technologies-private-limited-kota-jaipur-bikaner-jodhpur-1-to-4-years-170120500134"
"PRI_055","Major Life Style","Web Developer","Jaipur","1 - 3 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","85%","Strong","https://www.naukri.com/job-listings-web-developer-major-group-jaipur-1-to-3-years-170726910565"
"PRI_056","Uddan Promotions","React Developer - Jaipur - Uddan Promotions - 2 to 3 years ...","Jaipur","2 - 3 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-070826502302"
"PRI_057","In Time Tec","React Native Developer - Jaipur - In Time Tec - 2 to 3 years ...","Jaipur","2 - 3 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-react-native-developer-intimetec-visionsoft-pvt-ltd-jaipur-2-to-3-years-260626503703"
"PRI_058","Paliwal Infotech","Frontend Developer","Jaipur","1 - 3 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://www.naukri.com/job-listings-frontend-developer-paliwal-infotech-jaipur-1-to-3-years-070526501467"
"PRI_059","JPR Systems","Frontend & Backend professional - Jaipur - JPR Systems","Jaipur","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://www.naukri.com/job-listings-120925502406"
"PRI_060","1","Midlevel Frontend Developer - 1 - Jaipur - JPR Systems","Jaipur","0 - 4 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://www.naukri.com/job-listings-midlevel-frontend-developer-1-jpr-systems-jaipur-0-to-4-years-120925502404"
"PRI_061","NOI Technologies","React Native Developer - Jaipur - NOI Technologies","Jaipur","1 - 3 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-react-native-developer-noi-technologies-jaipur-1-to-3-years-300420501083"
"PRI_062","Pixel Point Technology","React Native Developer - Jaipur - Pixel Point Technology","Jaipur","1 - 3 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-react-native-developer-pixel-point-technology-jaipur-1-to-3-years-101121500898"
"PRI_063","Synthio Labs","Frontend Developer","Remote - India","1 - 2 years","HIGH","TIER 3 (Focused Target - Direct DM)","Posted ~1 month ago (Remotive as of 2026-08-09)","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://jobs.gem.com/synthio-labs/am9icG9zdDqVVfIOEM3wq3JHKg2197Ft"
"PRI_064","Conzura Soft Solutions","React JS Developer","Remote (hiring office Bengaluru)","0 - 2 years","HIGH","TIER 3 (Focused Target - Direct DM)","Posted 3+ weeks ago (Naukri as of 2026-08-09)","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-react-js-developer-conzura-soft-solutions-opc-bengaluru-0-to-2-years-090726017026"
"PRI_065","Vebbly","Frontend Developer (React/Vue)","Remote","0 - 5 years","HIGH","TIER 3 (Focused Target - Direct DM)","Posted 3+ weeks ago (Naukri as of 2026-08-09)","1 Position","< 50 Applicants","Low Competition (Golden Target)","94%","Strong","https://www.naukri.com/job-listings-frontend-developer-react-vue-vebbly-remote-0-to-5-years-290626504849"
"PRI_066","Portle","React Sorcerer (Remote Frontend Software Engineer)","Remote only (India-friendly Cutshort)","1 - 4 years","HIGH","TIER 3 (Focused Target - Direct DM)","Cutshort listing (active scrape 2026-08-09)","1 Position","< 50 Applicants","Low Competition (Golden Target)","94%","Strong","https://cutshort.io/job/React-Sorcerer-Remote-Frontend-Software-Engineer-Portle-alyy3OKE"
"PRI_067","detections.ai","Frontend Developer @detections.ai","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://remotive.com/remote/jobs/software-development/frontend-developer-5111379"
"PRI_068","Mercor","Frontend Developer (Coding Agent Experience)","Remote - Worldwide","2+ years professional frontend","HIGH","TIER 3 (Focused Target - Direct DM)","Posted ~1 month ago (Remotive)","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://www.careers-page.com/mercor/job/8X93RY8V?utm_medium=free_job_board&utm_source=remotiveio"
"PRI_069","Careerswift","Frontend Developer","Remote - Worldwide (likely same family as #1022)","See #1022 verified junior/middle posting","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://remotive.com/remote/jobs/software-development/frontend-developer-4934227"
"PRI_070","Lv 4 / Java + JavaScript","Full Stack Engineer - Lv 4 / Java + JavaScript","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","85%","Strong","https://weworkremotely.com/remote-jobs/confiz-full-stack-engineer-lv-4-java-javascript"
"PRI_071","Unknown","Remote Software engineer at Sticker Mule","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","85%","Strong","https://weworkremotely.com/remote-jobs/sticker-mule-software-engineer-3"
"PRI_072","Unknown","Remote React Native Developer at Bluelight Consulting","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://remoteok.com/remote-jobs/remote-react-native-developer-bluelight-consulting-1130182"
"PRI_073","Unknown","Remote React Developer (💰~$120k, Worldwide) at Saga ...","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://remoteok.com/remote-jobs/106111-remote-react-developer-saga-ventures"
"PRI_074","Dock","Remote Full Stack React Developer - Dock","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://remoteok.com/remote-jobs/105799-remote-full-stack-react-developer-dock"
"PRI_075","Unknown","Remote Front End React Engineer (💰~$90k) at Prezly","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","94%","Strong","https://remoteok.com/remote-jobs/62855-remote-frontend-react-engineer-prezly"
"PRI_076","Govcio LLC","React/Redux Frontend Developer @Govcio LLC","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","94%","Strong","https://remotive.com/remote/jobs/software-development/react-redux-frontend-developer-5325795"
"PRI_077","Halo Media","Frontend Developer @Halo Media","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://remotive.com/remote/jobs/software-development/frontend-developer-5447215"
"PRI_078","Neurocom SA Athens","React Developer @Neurocom SA Athens","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://remotive.com/remote/jobs/software-development/react-developer-5188632"
"PRI_079","Nortal","AI - Driven FrontEnd Developer @Nortal","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://remotive.com/remote/jobs/software-development/ai-driven-frontend-developer-4934892"
"PRI_080","Unknown","Full-stack (TypeScript, React) developer","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://remotive.com/remote/jobs/software-development/full-stack-typescript-react-developer-5128362"
"PRI_081","Govcio ...","Mid-Sr React/Redux FrontEnd Developer @Govcio ...","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","94%","Strong","https://remotive.com/remote/jobs/software-development/mid-sr-react-redux-frontend-developer-5047344"
"PRI_082","Expleo","Frontend Developer @Expleo","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://remotive.com/remote/jobs/software-development/frontend-developer-4608744"
